32;Barcelona;Burgos;2;0;
32;Castellon;Valencia;1;3;
32;Celta;Oviedo;4;2;
32;Las Palmas;Zaragoza;1;1;
32;Malaga (C.D.);Betis;0;0;
32;Real Sociedad;Real Madrid;1;1;
32;Sporting Gijon;Dptivo. Corugna;0;0;
33;Ath. Bilbao;Burgos;4;0;
33;Betis;Celta;1;0;
33;Dptivo. Corugna;Las Palmas;2;2;
33;Espanyol;Real Sociedad;1;1;
33;Granada;Barcelona;0;2;
33;Oviedo;Castellon;0;0;
33;Real Madrid;Malaga (C.D.);2;0;
33;Valencia;Sporting Gijon;1;0;
33;Zaragoza;At. Madrid;1;1;
34;At. Madrid;Dptivo. Corugna;3;1;
34;Barcelona;Zaragoza;1;1;
34;Burgos;Granada;2;1;
34;Castellon;Betis;3;1;
34;Celta;Real Madrid;3;0;
34;Las Palmas;Valencia;1;0;
34;Malaga (C.D.);Espanyol;0;1;
34;Real Sociedad;Ath. Bilbao;1;0;
34;Sporting Gijon;Oviedo;1;0;
35;Barakaldo;Pontevedra;3;0;
35;Cadiz;Sabadell;3;1;
35;Cordoba;Logrognes;2;1;
35;Elche;Cult. Leonesa;3;2;
35;Mallorca;Rayo Vallecano;2;1;
35;Osasuna;Rac. Santander;0;1;
35;Sant Andreu;Gimn. Tarragon;1;2;
35;Sevilla;Tenerife;3;0;
35;Valencia B;Murcia;0;0;
35;Valladolid;Hercules;1;1;
36;Cult. Leonesa;Sant Andreu;1;2;
36;Gimn. Tarragon;Barakaldo;2;0;
36;Hercules;Sevilla;1;1;
36;Logrognes;Cadiz;3;3;
36;Murcia;Valladolid;2;1;
36;Pontevedra;Mallorca;1;3;
36;Rac. Santander;Cordoba;1;0;
36;Rayo Vallecano;Osasuna;7;0;
36;Sabadell;Valencia B;2;1;
36;Tenerife;Elche;0;0;
37;Barakaldo;Cult. Leonesa;1;2;
37;Cadiz;Rac. Santander;0;1;
37;Elche;Hercules;3;0;
37;Mallorca;Gimn. Tarragon;2;0;
37;Osasuna;Cordoba;2;2;
37;Rayo Vallecano;Pontevedra;2;2;
